url,ground_truth_label,predicted_label,profanity_result,attack_result
https://bsky.app/profile/josephfarina.bsky.social/post/3m47mwq2wr22k,Targeted,Targeted,tp,tp
https://bsky.app/profile/ripo1962.bsky.social/post/3m3zwqyzn522b,Profanity,Targeted,tp,fp
https://bsky.app/profile/davidrlurie.bsky.social/post/3m4gortucic2c,Neutral,Profanity,fp,skip
https://bsky.app/profile/marderzucht.bsky.social/post/3m4gofgdbak2r,Neutral,Neutral,tn,skip
https://bsky.app/profile/ellecfromtwitter.bsky.social/post/3m3zohj5vkk2i,Profanity,Neutral,fn,skip
https://bsky.app/profile/stevebasnett.bsky.social/post/3m4dlrrip4s2o,Profanity,Profanity,tp,tn
https://bsky.app/profile/darkvander.bsky.social/post/3m4gl6nsiys24,Profanity,Neutral,fn,skip
https://bsky.app/profile/okapirouette.bsky.social/post/3m4gqmaeg5c23,Neutral,Profanity,fp,skip
https://bsky.app/profile/flakyfoont.bsky.social/post/3m4gm7vqpjc2o,Targeted,Targeted,tp,tp
https://bsky.app/profile/deereedbrklyn.bsky.social/post/3m3dbrtcyes2m,Profanity,Targeted,tp,fp
https://bsky.app/profile/far-far-away.bsky.social/post/3m47g52rews2j,Targeted,Targeted,tp,tp
https://bsky.app/profile/paulsdmcr.bsky.social/post/3m4gqfm7trc2c,Targeted,Profanity,tp,fn
https://bsky.app/profile/gameism.bsky.social/post/3m4gnxl4kks22,Targeted,Targeted,tp,tp
https://bsky.app/profile/sloanelysbeth.bsky.social/post/3m4gpivhk722q,Profanity,Targeted,tp,fp
https://bsky.app/profile/cherie-beachgirl.bsky.social/post/3m3eflsg5hc2l,Targeted,Targeted,tp,tp
https://bsky.app/profile/lotsiah.bsky.social/post/3m3ujgelq7c2m,Neutral,Profanity,fp,skip
https://bsky.app/profile/negativetendencies.bsky.social/post/3ly4qfhato22u,Targeted,Targeted,tp,tp
https://bsky.app/profile/ookingforward0.bsky.social/post/3m4fjjrnqmk25,Profanity,Profanity,tp,tn
https://bsky.app/profile/stormseazon.bsky.social/post/3lmh6ywdmrk27,Targeted,Targeted,tp,tp
https://bsky.app/profile/harajukustudio.bsky.social/post/3m4g2k5kn3k2h,Profanity,Profanity,tp,tn
https://bsky.app/profile/jotata75.bsky.social/post/3m3rye7qwp22w,Targeted,Targeted,tp,tp
https://bsky.app/profile/latinabondageuk.bsky.social/post/3m33xvudaos2k,Profanity,Neutral,fn,skip
https://bsky.app/profile/lahorn28.bsky.social/post/3m4gkjafz5s2q,Neutral,Profanity,fp,skip
https://bsky.app/profile/gunlaigse.bsky.social/post/3m3ybkp2aos2v,Targeted,Targeted,tp,tp
https://bsky.app/profile/blackazzknight.bsky.social/post/3m4ftcqqrnk2x,Targeted,Targeted,tp,tp
https://bsky.app/profile/telston.bsky.social/post/3m4gfi7ezzs24,Targeted,Profanity,tp,fn
https://bsky.app/profile/polarisoph.bsky.social/post/3m4fjbm33c22n,Profanity,Profanity,tp,tn
https://bsky.app/profile/craigary.bsky.social/post/3m4ewkjg2ec2i,Profanity,Profanity,tp,tn
https://bsky.app/profile/angelesbandit.bsky.social/post/3m37o35nk7c2x,Targeted,Targeted,tp,tp
https://bsky.app/profile/koinunokokishin.bsky.social/post/3m4gcivo3us22,Profanity,Profanity,tp,tn
https://bsky.app/profile/charltonlack.bsky.social/post/3m4g6mbev222s,Targeted,Targeted,tp,tp
https://bsky.app/profile/chloevz.bsky.social/post/3m4feflwi7k2r,Targeted,Targeted,tp,tp
https://bsky.app/profile/annmarr.bsky.social/post/3m33n7wguis2r,Targeted,Targeted,tp,tp
https://bsky.app/profile/bellboy905.bsky.social/post/3m423gg3ksc2s,Profanity,Neutral,fn,skip
https://bsky.app/profile/cinnabunniie.bsky.social/post/3m3dner73b22d,Profanity,Targeted,tp,fp
https://bsky.app/profile/calko.bsky.social/post/3m2n7bepjzs2k,Profanity,Profanity,tp,tn
https://bsky.app/profile/dlbidad.bsky.social/post/3m4gp4g4w6k2y,Profanity,Profanity,tp,tn
https://bsky.app/profile/wife-devotion.bsky.social/post/3m4glpte2ck2w,Profanity,Neutral,fn,skip
https://bsky.app/profile/hyarner.bsky.social/post/3m4ecmyinds2y,Targeted,Targeted,tp,tp
https://bsky.app/profile/theepinklady.bsky.social/post/3lqzml3id322p,Targeted,Targeted,tp,tp
https://bsky.app/profile/langdongrant.bsky.social/post/3m4gaey3tkc2m,Neutral,Targeted,fp,skip
https://bsky.app/profile/mjshanklin.bsky.social/post/3m3xehohgdk24,Profanity,Neutral,fn,skip
https://bsky.app/profile/minty-hippo.bsky.social/post/3m4gpsiopu227,Neutral,Profanity,fp,skip
https://bsky.app/profile/bitofbluesky.bsky.social/post/3lg4crgmxb226,Profanity,Profanity,tp,tn
https://bsky.app/profile/juss1.bsky.social/post/3m2veg3kjtk2q,Neutral,Profanity,fp,skip
https://bsky.app/profile/jakeekiss.bsky.social/post/3m4gq5qa3q22n,Profanity,Profanity,tp,tn
https://bsky.app/profile/too-young.bsky.social/post/3m4gpt6qooc2e,Profanity,Neutral,fn,skip
https://bsky.app/profile/alsvid.bsky.social/post/3lmmrtuhphc2c,Profanity,Targeted,tp,fp
https://bsky.app/profile/jimroch.bsky.social/post/3m4gd6xrvck2p,Targeted,Targeted,tp,tp
https://bsky.app/profile/tyzefs.bzh/post/3m4dyaz5gsc2q,Neutral,Targeted,fp,skip
https://bsky.app/profile/melos.bsky.social/post/3m4fggoljss2l,Targeted,Neutral,fn,skip
https://bsky.app/profile/cdnhelp.bsky.social/post/3m4gpyn76d22o,Profanity,Targeted,tp,fp
https://bsky.app/profile/christianaaaaa.bsky.social/post/3lu5vppxyl22h,Profanity,Profanity,tp,tn
https://bsky.app/profile/nolonine.bsky.social/post/3m4byqjrqas2j,Profanity,Targeted,tp,fp
https://bsky.app/profile/caffeineandhate.bsky.social/post/3m4gohdbcmc2k,Targeted,Targeted,tp,tp
https://bsky.app/profile/rodmuscle.bsky.social/post/3m4drw3ensc2j,Profanity,Profanity,tp,tn
https://bsky.app/profile/justsecurity.org/post/3m3zd4ngy3s2f,Neutral,Targeted,fp,skip
https://bsky.app/profile/ematt622.bsky.social/post/3m4dtebdmbk2n,Profanity,Neutral,fn,skip
https://bsky.app/profile/the-cigar-girl.blacksky.app/post/3m4btu5ryec2b,Profanity,Targeted,tp,fp
https://bsky.app/profile/ladykenoh.bsky.social/post/3luw6hmikek2e,Targeted,Neutral,fn,skip
https://bsky.app/profile/qitqat-bd.bsky.social/post/3m4fwfkubnk2g,Targeted,Targeted,tp,tp
https://bsky.app/profile/akashdom.bsky.social/post/3m4fn36yh3s2a,Profanity,Neutral,fn,skip
https://bsky.app/profile/southaustinhippy.bsky.social/post/3lzrwmqtxdc2k,Profanity,Targeted,tp,fp
https://bsky.app/profile/jonathanlhoward.bsky.social/post/3m4gp6t3dzs2j,Targeted,Targeted,tp,tp
https://bsky.app/profile/gunbreaker.etheirys.social/post/3m4gbxlorhk2q,Neutral,Profanity,fp,skip
https://bsky.app/profile/bahmanjazooyeh.bsky.social/post/3m4gmzfvwik2s,Targeted,Targeted,tp,tp
https://bsky.app/profile/thestackscat.bsky.social/post/3m4bqjvb6o22k,Profanity,Profanity,tp,tn
https://bsky.app/profile/ghwubs.bsky.social/post/3m4gl6smjpk2e,Profanity,Targeted,tp,fp
https://bsky.app/profile/veneran.bsky.social/post/3m4geapshrs2e,Profanity,Profanity,tp,tn
https://bsky.app/profile/jerseygoose.bsky.social/post/3m4g3ntgjhc2j,Profanity,Neutral,fn,skip
https://bsky.app/profile/thewiz1.bsky.social/post/3m4a2zek46s24,Targeted,Targeted,tp,tp
https://bsky.app/profile/commonsensegoodgov.bsky.social/post/3m4ecvl7sq22s,Targeted,Targeted,tp,tp
https://bsky.app/profile/freekjanssen.bsky.social/post/3m472sifqms23,Neutral,Profanity,fp,skip
https://bsky.app/profile/americanleshy.bsky.social/post/3m4gotbslcs2g,Profanity,Profanity,tp,tn
https://bsky.app/profile/lostanachronism.bsky.social/post/3m4gp5zompz2a,Profanity,Targeted,tp,fp
https://bsky.app/profile/adamleonhardt.bsky.social/post/3m4gcbqyev22z,Targeted,Targeted,tp,tp
https://bsky.app/profile/coachbpp.bsky.social/post/3m4eqjcmxhk24,Targeted,Targeted,tp,tp
https://bsky.app/profile/coreydanks.bsky.social/post/3m46qmkdlxc22,Profanity,Targeted,tp,fp
https://bsky.app/profile/therealkeninmn.bsky.social/post/3m4gpbwvors2h,Neutral,Targeted,fp,skip
https://bsky.app/profile/almasuono.bsky.social/post/3lv4vtd6kus2p,Targeted,Targeted,tp,tp
https://bsky.app/profile/dontdisssixtypence.bsky.social/post/3lz27wqqruc2f,Targeted,Targeted,tp,tp
https://bsky.app/profile/harajukustudio.bsky.social/post/3m4g2j2f6gs2h,Profanity,Profanity,tp,tn
https://bsky.app/profile/myselfnzyme.bsky.social/post/3m3y4tt32yc2e,Profanity,Profanity,tp,tn
https://bsky.app/profile/salontrek.com/post/3m4gpj2ucjc2b,Neutral,Neutral,tn,skip
https://bsky.app/profile/collyc.bsky.social/post/3m4dpenvyk22l,Profanity,Targeted,tp,fp
https://bsky.app/profile/petergermanyxxx.bsky.social/post/3m4g7xlncak2j,Targeted,Targeted,tp,tp
https://bsky.app/profile/sparklerblue2.bsky.social/post/3m4gn65vcgc22,Neutral,Targeted,fp,skip
https://bsky.app/profile/lynnellem.bsky.social/post/3m4eb7eph3c2j,Targeted,Targeted,tp,tp
https://bsky.app/profile/bluesports81.bsky.social/post/3m22t4sj7is2b,Targeted,Targeted,tp,tp
https://bsky.app/profile/jcm0526.bsky.social/post/3lqxabsrqjs2a,Targeted,Targeted,tp,tp
https://bsky.app/profile/goblingirlzoe.bsky.social/post/3m4g6ho6imk2m,Profanity,Profanity,tp,tn
https://bsky.app/profile/pilleriin.bsky.social/post/3m4b36gt4lk2t,Neutral,Profanity,fp,skip
https://bsky.app/profile/tottenhambhoy.bsky.social/post/3m3uy7hcn4s2r,Profanity,Targeted,tp,fp
https://bsky.app/profile/fascistfighter2025.bsky.social/post/3m4gfbioz7k2e,Targeted,Targeted,tp,tp
https://bsky.app/profile/mrlint.bsky.social/post/3m4e4ev6szc2u,Targeted,Targeted,tp,tp
https://bsky.app/profile/mariothesuperduper.bsky.social/post/3lw5msxsrk22w,Profanity,Profanity,tp,tn
https://bsky.app/profile/marysuesays.bsky.social/post/3m37je2tcqc24,Profanity,Profanity,tp,tn
https://bsky.app/profile/thebottle-bot.bsky.social/post/3m4filw4f4n2t,Neutral,Profanity,fp,skip
https://bsky.app/profile/strawmanff.bsky.social/post/3m4gguhw3dc2y,Profanity,Profanity,tp,tn
https://bsky.app/profile/fkx-boomer.bsky.social/post/3m3yigvdusc2b,Targeted,Targeted,tp,tp
https://bsky.app/profile/barkbite.bsky.social/post/3m2ze2yez3k25,Profanity,Profanity,tp,tn
https://bsky.app/profile/bemonho.bsky.social/post/3m2rit6ndjc2y,Neutral,Profanity,fp,skip
https://bsky.app/profile/ceedro.bsky.social/post/3m4fafqi6mc23,Profanity,Profanity,tp,tn
https://bsky.app/profile/aafkevanzwieten.bsky.social/post/3lykx7sah6n2o,Targeted,Targeted,tp,tp
https://bsky.app/profile/lala1967.bsky.social/post/3m3augucr6c2b,Profanity,Targeted,tp,fp
https://bsky.app/profile/moviemonkee.bsky.social/post/3lyvk2nb5hs2z,Targeted,Targeted,tp,tp
https://bsky.app/profile/comabri.bsky.social/post/3m4gpz4b4722h,Targeted,Targeted,tp,tp
https://bsky.app/profile/dangercupcake.bsky.social/post/3m4gljgm74s25,Profanity,Neutral,fn,skip
https://bsky.app/profile/acroray.bsky.social/post/3lubrshbc5c2q,Profanity,Targeted,tp,fp
https://bsky.app/profile/shandoraexplorer.bsky.social/post/3m3iwfdymz226,Profanity,Profanity,tp,tn
https://bsky.app/profile/jaymichaluk.bsky.social/post/3lisui2ddxc2c,Targeted,Targeted,tp,tp
https://bsky.app/profile/goblingirlzoe.bsky.social/post/3m4ghg5occ22m,Profanity,Profanity,tp,tn
https://bsky.app/profile/seanpetrizzi.bsky.social/post/3lzk25rrrkk27,Profanity,Profanity,tp,tn
https://bsky.app/profile/cleverpudding.bsky.social/post/3m4gorg4r2k2p,Neutral,Profanity,fp,skip
https://bsky.app/profile/rikardlinde.bsky.social/post/3m3imjdxhgc27,Neutral,Profanity,fp,skip
https://bsky.app/profile/intersex-insights.bsky.social/post/3lyjmghsqyc23,Targeted,Targeted,tp,tp
https://bsky.app/profile/carlnyberg312.bsky.social/post/3m4e6rbgw2k2q,Neutral,Profanity,fp,skip
https://bsky.app/profile/mac-leon.bsky.social/post/3m3qkbjgj5c2c,Profanity,Profanity,tp,tn
https://bsky.app/profile/dukevulture.bsky.social/post/3m4gkuzjvz22m,Profanity,Targeted,tp,fp
